b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
1000,179,5,0.0044,179,170,1100,5012,1,100,0.0083,bi_a100_b1000_p05%_v1.col,0.0035
1000,185,5,0.0044,185,167,1100,4918,2,100,0.0082,bi_a100_b1000_p05%_v2.col,0.0034
1000,176,5,0.0044,176,170,1100,4997,3,100,0.0083,bi_a100_b1000_p05%_v3.col,0.0035
1000,190,5,0.0044,190,170,1100,5031,4,100,0.0084,bi_a100_b1000_p05%_v4.col,0.0035
1000,174,5,0.0045,174,169,1100,4978,5,100,0.0082,bi_a100_b1000_p05%_v5.col,0.0035
1000,241,10,0.008,241,304,1100,10054,1,100,0.0143,bi_a100_b1000_p10%_v1.col,0.011
1000,236,10,0.0079,236,304,1100,10092,2,100,0.014,bi_a100_b1000_p10%_v2.col,0.0115
1000,233,10,0.0079,233,302,1100,9994,3,100,0.014,bi_a100_b1000_p10%_v3.col,0.0106
1000,235,10,0.0079,235,305,1100,10029,4,100,0.014,bi_a100_b1000_p10%_v4.col,0.0109
1000,235,10,0.0081,235,304,1100,10078,5,100,0.0142,bi_a100_b1000_p10%_v5.col,0.2921
1000,542,20,0.0249,542,656,1100,19912,1,100,0.0376,bi_a100_b1000_p20%_v1.col,0.0346
1000,546,20,0.0255,546,667,1100,20051,2,100,0.0381,bi_a100_b1000_p20%_v2.col,0.0365
1000,546,20,0.025,546,665,1100,20015,3,100,0.0376,bi_a100_b1000_p20%_v3.col,0.0385
1000,541,20,0.025,541,659,1100,19808,4,100,0.0375,bi_a100_b1000_p20%_v4.col,0.0334
1000,538,20,0.0247,538,654,1100,19748,5,100,0.0373,bi_a100_b1000_p20%_v5.col,0.0324
1000,1012,30,0.0541,1012,999,1100,29774,1,100,0.0742,bi_a100_b1000_p30%_v1.col,0.0739
1000,1020,30,0.0551,1020,1004,1100,30170,2,100,0.0759,bi_a100_b1000_p30%_v2.col,0.064
1000,1021,30,0.055,1021,1006,1100,30328,3,100,0.0764,bi_a100_b1000_p30%_v3.col,0.0692
1000,1016,30,0.0531,1016,1005,1100,29832,4,100,0.074,bi_a100_b1000_p30%_v4.col,0.0622
1000,1005,30,0.0543,1005,991,1100,29761,5,100,0.075,bi_a100_b1000_p30%_v5.col,0.0695
1000,1065,40,0.0906,1065,1047,1100,39882,1,100,0.1195,bi_a100_b1000_p40%_v1.col,0.137
1000,1066,40,0.0884,1066,1049,1100,39993,2,100,0.1183,bi_a100_b1000_p40%_v2.col,0.1322
1000,1064,40,0.0922,1064,1046,1100,40117,3,100,0.1216,bi_a100_b1000_p40%_v3.col,0.1206
1000,1063,40,0.0998,1063,1047,1100,40206,4,100,0.1238,bi_a100_b1000_p40%_v4.col,0.1234
1000,1063,40,0.0966,1063,1047,1100,40131,5,100,0.1204,bi_a100_b1000_p40%_v5.col,0.1091
1000,1074,50,0.14,1074,1065,1100,49850,1,100,0.174,bi_a100_b1000_p50%_v1.col,0.1853
1000,1075,50,0.1377,1075,1066,1100,50038,2,100,0.1858,bi_a100_b1000_p50%_v2.col,0.207
1000,1076,50,0.1401,1076,1066,1100,49784,3,100,0.1774,bi_a100_b1000_p50%_v3.col,0.2108
1000,1077,50,0.1391,1077,1065,1100,49973,4,100,0.1794,bi_a100_b1000_p50%_v4.col,0.165
1000,1078,50,0.1441,1078,1067,1100,50175,5,100,0.1848,bi_a100_b1000_p50%_v5.col,0.1901
1000,1086,60,0.1949,1086,1077,1100,59993,1,100,0.2488,bi_a100_b1000_p60%_v1.col,0.2426
1000,1085,60,0.1966,1085,1078,1100,59999,2,100,0.2514,bi_a100_b1000_p60%_v2.col,0.2546
1000,1083,60,0.1918,1083,1078,1100,60016,3,100,0.2457,bi_a100_b1000_p60%_v3.col,0.2487
1000,1083,60,0.1917,1083,1078,1100,60010,4,100,0.2459,bi_a100_b1000_p60%_v4.col,0.2489
1000,1083,60,0.1914,1083,1077,1100,59754,5,100,0.245,bi_a100_b1000_p60%_v5.col,0.2264
1000,1087,70,0.2494,1087,1084,1100,70111,1,100,0.3196,bi_a100_b1000_p70%_v1.col,0.2986
1000,1090,70,0.2697,1090,1085,1100,70169,2,100,0.3437,bi_a100_b1000_p70%_v2.col,0.3103
1000,1091,70,0.26,1091,1083,1100,70178,3,100,0.3292,bi_a100_b1000_p70%_v3.col,0.3467
1000,1088,70,0.2622,1088,1084,1100,70090,4,100,0.3351,bi_a100_b1000_p70%_v4.col,0.2858
1000,1088,70,0.257,1088,1085,1100,70187,5,100,0.3331,bi_a100_b1000_p70%_v5.col,0.336
1000,1092,80,0.322,1092,1090,1100,80051,1,100,0.4114,bi_a100_b1000_p80%_v1.col,0.3589
1000,1093,80,0.3343,1093,1090,1100,80061,2,100,0.4219,bi_a100_b1000_p80%_v2.col,0.3765
1000,1092,80,0.3338,1092,1090,1100,79942,3,100,0.4243,bi_a100_b1000_p80%_v3.col,0.3683
1000,1092,80,0.3349,1092,1089,1100,80154,4,100,0.4248,bi_a100_b1000_p80%_v4.col,0.3421
1000,1094,80,0.3143,1094,1089,1100,80014,5,100,0.3984,bi_a100_b1000_p80%_v5.col,0.4248
1000,1095,90,0.3597,1095,1094,1100,89871,1,100,0.4718,bi_a100_b1000_p90%_v1.col,0.3871
1000,1095,90,0.3627,1095,1094,1100,90013,2,100,0.4702,bi_a100_b1000_p90%_v2.col,0.3859
1000,1095,90,0.3637,1095,1094,1100,89866,3,100,0.4671,bi_a100_b1000_p90%_v3.col,0.396
1000,1095,90,0.3687,1095,1094,1100,89909,4,100,0.4856,bi_a100_b1000_p90%_v4.col,0.4066
1000,1095,90,0.3755,1095,1094,1100,89908,5,100,0.4851,bi_a100_b1000_p90%_v5.col,0.3878
5000,444,1,0.0326,444,149,5100,4865,1,100,0.1142,bi_a100_b5000_p01%_v1.col,0.016
5000,518,1,0.0335,518,152,5100,5060,2,100,0.1146,bi_a100_b5000_p01%_v2.col,0.016
5000,516,1,0.0322,516,151,5100,4984,3,100,0.1138,bi_a100_b5000_p01%_v3.col,0.0159
5000,491,1,0.0325,491,150,5100,5025,4,100,0.1141,bi_a100_b5000_p01%_v4.col,0.0158
5000,469,1,0.0391,469,154,5100,5086,5,100,0.1153,bi_a100_b5000_p01%_v5.col,0.0159
5000,350,3,0.0386,350,295,5100,15093,1,100,0.1364,bi_a100_b5000_p03%_v1.col,0.0317
5000,372,3,0.0383,372,291,5100,14810,2,100,0.1374,bi_a100_b5000_p03%_v2.col,0.0287
5000,380,3,0.0388,380,293,5100,14980,3,100,0.1372,bi_a100_b5000_p03%_v3.col,0.0316
5000,356,3,0.039,356,293,5100,14932,4,100,0.1369,bi_a100_b5000_p03%_v4.col,0.029
5000,368,3,0.0391,368,292,5100,14882,5,100,0.1362,bi_a100_b5000_p03%_v5.col,0.0293
5000,355,5,0.0514,355,475,5100,24847,1,100,0.1593,bi_a100_b5000_p05%_v1.col,0.0564
5000,347,5,0.0517,347,481,5100,24860,2,100,0.1612,bi_a100_b5000_p05%_v2.col,0.0579
5000,350,5,0.0523,350,484,5100,25175,3,100,0.1685,bi_a100_b5000_p05%_v3.col,0.0639
5000,486,5,0.0525,486,478,5100,24881,4,100,0.1636,bi_a100_b5000_p05%_v4.col,0.056
5000,349,5,0.0518,349,479,5100,25045,5,100,0.1614,bi_a100_b5000_p05%_v5.col,0.0594
5000,822,10,0.1478,822,1105,5100,49858,1,100,0.3025,bi_a100_b5000_p10%_v1.col,0.255
