mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.0174,10,50,0.0,0.01772,0.0008,0.0,0.0008,0.0,0.0,150,145,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c50_v5.col
0.01887,10,60,0.0,0.01986,0.0007,0.0,0.0006,0.0,0.0,158,153,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v1.col
0.02013,10,60,0.0,0.02052,0.0007,0.0,0.0007,0.0,0.0,166,161,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v2.col
0.03063,10,60,0.0,0.0317,0.0006,0.0,0.0007,0.0,0.0,216,211,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v3.col
0.03233,10,60,0.0,0.0328,0.0008,0.0,0.0008,0.0,0.0,222,217,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v4.col
0.01697,10,60,0.0,0.01789,0.0007,0.0,0.0006,0.0,0.0,147,142,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c60_v5.col
0.02712,10,70,0.0,0.02809,0.0007,0.0,0.0006,0.0,0.0,190,185,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v1.col
0.02106,10,70,0.0,0.02203,0.0008,0.0,0.0007,0.0,0.0,166,161,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v2.col
0.02454,10,70,0.0,0.02555,0.0006,0.0,0.0007,0.0,0.0,178,173,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v3.col
0.04081,10,70,0.0,0.04161,0.0009,0.0,0.0009,0.0,0.0,264,259,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v4.col
0.04157,10,70,0.0,0.04231,0.0008,0.0,0.0008,0.0,0.0,265,260,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c70_v5.col
0.03909,10,80,0.0,0.04049,0.0009,0.0,0.0009,0.0,0.0,261,256,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v1.col
0.02168,10,80,0.0,0.02211,0.0008,0.0,0.0008,0.0,0.0,165,160,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v2.col
0.03194,10,80,0.0,0.0324,0.0007,0.0,0.0007,0.0,0.0,217,212,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v3.col
0.03631,10,80,0.0,0.0368,0.0007,0.0,0.0007,0.0,0.0,237,232,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v4.col
0.02879,10,80,0.0,0.02983,0.0007,0.0,0.0008,0.0,0.0,204,199,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c80_v5.col
0.03747,10,90,0.0,0.03857,0.0007,0.0,0.0008,0.0,0.0,239,234,1,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v1.col
0.05267,10,90,0.0,0.0542,0.0008,0.0,0.0009,0.0,0.0,312,307,2,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v2.col
0.04072,10,90,0.0,0.04215,0.002,0.0,0.0017,0.0,0.0,252,247,3,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v3.col
0.0328,10,90,0.0,0.03328,0.0008,0.0,0.0008,0.0,0.0,221,216,4,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v4.col
0.04133,10,90,0.0,0.04277,0.001,0.0,0.001,0.0,0.0,254,249,5,0.0,5,0.0,0.0,0.0,galaxy_a05_b10_c90_v5.col
4.73797,10,100,0.0,4.75478,0.1217,0.0,0.1186,0.0,0.0,5804,5704,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v1.col
4.4141,10,100,0.0,4.42509,0.0984,0.0,0.0975,0.0,0.0,5555,5455,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v2.col
4.46593,10,100,0.0,4.47829,0.0805,0.0,0.0801,0.0,0.0,5712,5612,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v3.col
4.68861,10,100,0.0,4.69895,0.1143,0.0,0.1133,0.0,0.0,5713,5613,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v4.col
5.36463,10,100,0.0,5.39158,0.1126,0.0,0.1013,0.0,0.0,6255,6155,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c100_v5.col
0.55201,10,20,0.0,0.55494,0.0022,0.0,0.0018,0.0,0.0,1608,1508,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v1.col
0.56481,10,20,0.0,0.56907,0.0016,0.0,0.0018,0.0,0.0,1614,1514,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v2.col
0.63063,10,20,0.0,0.63376,0.0861,0.0,0.0859,0.0,0.0,1561,1461,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v3.col
