instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a100_b10_c20_v2.col,100,10,20,2,1614,1514,110,0.001914747,MinGrau
galaxy_a100_b10_c20_v3.col,100,10,20,3,1561,1461,110,0.001757328,MinGrau
galaxy_a100_b10_c20_v4.col,100,10,20,4,1660,1560,110,0.001926468,MinGrau
galaxy_a100_b10_c20_v5.col,100,10,20,5,1571,1471,110,0.001763886,MinGrau
galaxy_a100_b10_c30_v1.col,100,10,30,1,2041,1941,110,0.002698696,MinGrau
galaxy_a100_b10_c30_v2.col,100,10,30,2,2092,1992,110,0.002934437,MinGrau
galaxy_a100_b10_c30_v3.col,100,10,30,3,2188,2088,110,0.003113741,MinGrau
galaxy_a100_b10_c30_v4.col,100,10,30,4,2001,1901,110,0.002628483,MinGrau
galaxy_a100_b10_c30_v5.col,100,10,30,5,1985,1885,110,0.002645918,MinGrau
galaxy_a100_b10_c40_v1.col,100,10,40,1,2631,2531,110,0.004226729,MinGrau
galaxy_a100_b10_c40_v2.col,100,10,40,2,2674,2574,110,0.004442335,MinGrau
galaxy_a100_b10_c40_v3.col,100,10,40,3,2496,2396,110,0.003968764,MinGrau
galaxy_a100_b10_c40_v4.col,100,10,40,4,2400,2300,110,0.003550931,MinGrau
galaxy_a100_b10_c40_v5.col,100,10,40,5,2555,2455,110,0.004050573,MinGrau
galaxy_a100_b10_c50_v1.col,100,10,50,1,2995,2895,110,0.005431434,MinGrau
galaxy_a100_b10_c50_v2.col,100,10,50,2,3021,2921,110,0.005350329,MinGrau
galaxy_a100_b10_c50_v3.col,100,10,50,3,3012,2912,110,0.00556637,MinGrau
galaxy_a100_b10_c50_v4.col,100,10,50,4,3256,3156,110,0.00616413,MinGrau
galaxy_a100_b10_c50_v5.col,100,10,50,5,3075,2975,110,0.005758001,MinGrau
galaxy_a100_b10_c60_v1.col,100,10,60,1,3448,3348,110,0.006809576,MinGrau
galaxy_a100_b10_c60_v2.col,100,10,60,2,3563,3463,110,0.007249096,MinGrau
galaxy_a100_b10_c60_v3.col,100,10,60,3,3582,3482,110,0.007527362,MinGrau
galaxy_a100_b10_c60_v4.col,100,10,60,4,3518,3418,110,0.007245105,MinGrau
galaxy_a100_b10_c60_v5.col,100,10,60,5,3714,3614,110,0.008058073,MinGrau
galaxy_a100_b10_c70_v1.col,100,10,70,1,3990,3890,110,0.008948142,MinGrau
galaxy_a100_b10_c70_v2.col,100,10,70,2,4165,4065,112,0.010264705,MinGrau
galaxy_a100_b10_c70_v3.col,100,10,70,3,4326,4226,110,0.011077473,MinGrau
galaxy_a100_b10_c70_v4.col,100,10,70,4,4240,4140,111,0.010162255,MinGrau
galaxy_a100_b10_c70_v5.col,100,10,70,5,3969,3869,111,0.009128008,MinGrau
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,110,0.012017254,MinGrau
galaxy_a100_b10_c80_v2.col,100,10,80,2,4929,4829,115,0.014110863,MinGrau
galaxy_a100_b10_c80_v3.col,100,10,80,3,4785,4685,110,0.013181637,MinGrau
galaxy_a100_b10_c80_v4.col,100,10,80,4,4712,4612,110,0.012908163,MinGrau
galaxy_a100_b10_c80_v5.col,100,10,80,5,4537,4437,110,0.011838653,MinGrau
galaxy_a100_b10_c90_v1.col,100,10,90,1,5110,5010,110,0.015408272,MinGrau
galaxy_a100_b10_c90_v2.col,100,10,90,2,5347,5247,112,0.016644945,MinGrau
galaxy_a100_b10_c90_v3.col,100,10,90,3,5523,5423,115,0.017068436,MinGrau
galaxy_a100_b10_c90_v4.col,100,10,90,4,5349,5249,113,0.016525693,MinGrau
galaxy_a100_b10_c90_v5.col,100,10,90,5,5416,5316,112,0.016635255,MinGrau
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,94,0.000368328,MinGrau
galaxy_a10_b10_c100_v2.col,10,10,100,2,650,640,97,0.000576554,MinGrau
galaxy_a10_b10_c100_v3.col,10,10,100,3,600,590,98,0.000462917,MinGrau
galaxy_a10_b10_c100_v4.col,10,10,100,4,601,591,101,0.000472172,MinGrau
galaxy_a10_b10_c100_v5.col,10,10,100,5,545,535,88,0.000418733,MinGrau
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,22,6.7103e-5,MinGrau
galaxy_a10_b10_c20_v2.col,10,10,20,2,159,149,21,6.2786e-5,MinGrau
galaxy_a10_b10_c20_v3.col,10,10,20,3,160,150,22,6.3931e-5,MinGrau
galaxy_a10_b10_c20_v4.col,10,10,20,4,147,137,21,5.9702e-5,MinGrau
galaxy_a10_b10_c20_v5.col,10,10,20,5,167,157,23,6.6193e-5,MinGrau
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,28,0.000124243,MinGrau
galaxy_a10_b10_c30_v2.col,10,10,30,2,222,212,31,0.000116485,MinGrau
galaxy_a10_b10_c30_v3.col,10,10,30,3,208,198,27,0.00010753,MinGrau
galaxy_a10_b10_c30_v4.col,10,10,30,4,196,186,28,0.000129056,MinGrau
galaxy_a10_b10_c30_v5.col,10,10,30,5,212,202,31,0.000115678,MinGrau
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,37,0.000130986,MinGrau
galaxy_a10_b10_c40_v2.col,10,10,40,2,246,236,39,0.000132196,MinGrau
galaxy_a10_b10_c40_v3.col,10,10,40,3,279,269,41,0.000152695,MinGrau
galaxy_a10_b10_c40_v4.col,10,10,40,4,259,249,38,0.000137922,MinGrau
galaxy_a10_b10_c40_v5.col,10,10,40,5,262,252,41,0.000148679,MinGrau
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,51,0.000199304,MinGrau
galaxy_a10_b10_c50_v2.col,10,10,50,2,376,366,50,0.000210479,MinGrau
galaxy_a10_b10_c50_v3.col,10,10,50,3,351,341,49,0.000207719,MinGrau
galaxy_a10_b10_c50_v4.col,10,10,50,4,286,276,48,0.000155826,MinGrau
galaxy_a10_b10_c50_v5.col,10,10,50,5,320,310,51,0.000175187,MinGrau
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,61,0.000191505,MinGrau
galaxy_a10_b10_c60_v2.col,10,10,60,2,261,251,51,0.000138379,MinGrau
galaxy_a10_b10_c60_v3.col,10,10,60,3,259,249,53,0.000124115,MinGrau
galaxy_a10_b10_c60_v4.col,10,10,60,4,402,392,59,0.000230552,MinGrau
galaxy_a10_b10_c60_v5.col,10,10,60,5,341,331,59,0.000196057,MinGrau
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,61,0.000277461,MinGrau
galaxy_a10_b10_c70_v2.col,10,10,70,2,492,482,65,0.000296516,MinGrau
galaxy_a10_b10_c70_v3.col,10,10,70,3,447,437,72,0.000272783,MinGrau
galaxy_a10_b10_c70_v4.col,10,10,70,4,430,420,69,0.000253836,MinGrau
galaxy_a10_b10_c70_v5.col,10,10,70,5,456,446,69,0.000275813,MinGrau
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,77,0.000277329,MinGrau
galaxy_a10_b10_c80_v2.col,10,10,80,2,519,509,79,0.000361961,MinGrau
galaxy_a10_b10_c80_v3.col,10,10,80,3,575,565,82,0.000391805,MinGrau
galaxy_a10_b10_c80_v4.col,10,10,80,4,435,425,75,0.000249441,MinGrau
galaxy_a10_b10_c80_v5.col,10,10,80,5,424,414,77,0.0002418,MinGrau
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,90,0.000381884,MinGrau
galaxy_a10_b10_c90_v2.col,10,10,90,2,618,608,85,0.000503226,MinGrau
galaxy_a10_b10_c90_v3.col,10,10,90,3,438,428,71,0.000262661,MinGrau
galaxy_a10_b10_c90_v4.col,10,10,90,4,475,465,89,0.000302592,MinGrau
galaxy_a10_b10_c90_v5.col,10,10,90,5,593,583,87,0.000446619,MinGrau
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,94,0.000787104,MinGrau
galaxy_a15_b10_c100_v2.col,15,10,100,2,750,735,100,0.000630753,MinGrau
galaxy_a15_b10_c100_v3.col,15,10,100,3,939,924,102,0.000840461,MinGrau
galaxy_a15_b10_c100_v4.col,15,10,100,4,774,759,90,0.000638619,MinGrau
galaxy_a15_b10_c100_v5.col,15,10,100,5,783,768,99,0.000648778,MinGrau
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,26,0.000117957,MinGrau
galaxy_a15_b10_c20_v2.col,15,10,20,2,265,250,27,0.000135333,MinGrau
galaxy_a15_b10_c20_v3.col,15,10,20,3,239,224,25,0.000101231,MinGrau
galaxy_a15_b10_c20_v4.col,15,10,20,4,232,217,25,9.8388e-5,MinGrau
galaxy_a15_b10_c20_v5.col,15,10,20,5,248,233,26,0.000124863,MinGrau
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,31,0.000155565,MinGrau
galaxy_a15_b10_c30_v2.col,15,10,30,2,308,293,29,0.000152513,MinGrau
galaxy_a15_b10_c30_v3.col,15,10,30,3,319,304,31,0.0001671,MinGrau
galaxy_a15_b10_c30_v4.col,15,10,30,4,300,285,31,0.000143507,MinGrau
