instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a05_b10_c60_v3.col,5,10,60,3,216,211,212,0.000588432,61,0.000120043,212,0.000500061
galaxy_a05_b10_c60_v4.col,5,10,60,4,222,217,218,0.000621544,60,0.000127398,218,0.000510432
galaxy_a05_b10_c60_v5.col,5,10,60,5,147,142,143,0.0002836,58,6.54e-5,143,0.000225173
galaxy_a05_b10_c70_v1.col,5,10,70,1,190,185,186,0.00045883,67,0.000102784,186,0.000386902
galaxy_a05_b10_c70_v2.col,5,10,70,2,166,161,162,0.000338802,70,7.7829e-5,162,0.000278906
galaxy_a05_b10_c70_v3.col,5,10,70,3,178,173,174,0.000412276,67,9.1324e-5,174,0.000340471
galaxy_a05_b10_c70_v4.col,5,10,70,4,264,259,260,0.000862419,68,0.000153966,260,0.000723258
galaxy_a05_b10_c70_v5.col,5,10,70,5,265,260,261,0.000857514,67,0.000151847,261,0.000726075
galaxy_a05_b10_c80_v1.col,5,10,80,1,261,256,257,0.000817989,66,0.000139116,257,0.000675115
galaxy_a05_b10_c80_v2.col,5,10,80,2,165,160,161,0.000331394,75,7.4789e-5,161,0.000261773
galaxy_a05_b10_c80_v3.col,5,10,80,3,217,212,213,0.000575977,67,0.000111139,213,0.000475398
galaxy_a05_b10_c80_v4.col,5,10,80,4,237,232,233,0.000663104,81,0.000132126,233,0.000584408
galaxy_a05_b10_c80_v5.col,5,10,80,5,204,199,200,0.000496486,63,0.000102204,200,0.000417785
galaxy_a05_b10_c90_v1.col,5,10,90,1,239,234,235,0.000656799,88,0.000139018,235,0.000532894
galaxy_a05_b10_c90_v2.col,5,10,90,2,312,307,308,0.001131877,90,0.00018517,308,0.000922168
galaxy_a05_b10_c90_v3.col,5,10,90,3,252,247,248,0.0007431,69,0.000142815,248,0.00062825
galaxy_a05_b10_c90_v4.col,5,10,90,4,221,216,217,0.000592048,78,0.000119492,217,0.000474385
galaxy_a05_b10_c90_v5.col,5,10,90,5,254,249,250,0.000754835,90,0.000148925,250,0.000616246
galaxy_a100_b10_c100_v1.col,100,10,100,1,5804,5704,5705,0.426115263,112,0.018464032,5705,0.403172976
galaxy_a100_b10_c100_v2.col,100,10,100,2,5555,5455,5456,0.39105783,111,0.017361352,5456,0.364178346
galaxy_a100_b10_c100_v3.col,100,10,100,3,5712,5612,5613,0.415428039,114,0.018224835,5613,0.401434378
galaxy_a100_b10_c100_v4.col,100,10,100,4,5713,5613,5614,0.418809747,111,0.018875255,5614,0.391055801
galaxy_a100_b10_c100_v5.col,100,10,100,5,6255,6155,6156,0.515864706,122,0.021783229,6156,0.468620869
galaxy_a100_b10_c20_v1.col,100,10,20,1,1608,1508,1509,0.029358199,110,0.001871703,1509,0.025308808
