instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a15_b10_c100_v2.col,15,10,100,2,750,735,100,0.068567186,MinGrau
galaxy_a15_b10_c100_v3.col,15,10,100,3,939,924,102,0.07595751,MinGrau
galaxy_a15_b10_c100_v4.col,15,10,100,4,774,759,90,0.044054655,MinGrau
galaxy_a15_b10_c100_v5.col,15,10,100,5,783,768,99,0.056703334,MinGrau
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,26,0.001885098,MinGrau
galaxy_a15_b10_c20_v2.col,15,10,20,2,265,250,27,0.002086198,MinGrau
galaxy_a15_b10_c20_v3.col,15,10,20,3,239,224,25,0.001598698,MinGrau
galaxy_a15_b10_c20_v4.col,15,10,20,4,232,217,25,0.001437298,MinGrau
galaxy_a15_b10_c20_v5.col,15,10,20,5,248,233,26,0.001785398,MinGrau
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,31,0.003339096,MinGrau
galaxy_a15_b10_c30_v2.col,15,10,30,2,308,293,29,0.003609496,MinGrau
galaxy_a15_b10_c30_v3.col,15,10,30,3,319,304,31,0.004063295,MinGrau
galaxy_a15_b10_c30_v4.col,15,10,30,4,300,285,31,0.003184596,MinGrau
galaxy_a15_b10_c30_v5.col,15,10,30,5,345,330,32,0.004381795,MinGrau
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,40,0.00838559,MinGrau
galaxy_a15_b10_c40_v2.col,15,10,40,2,435,420,41,0.009192288,MinGrau
galaxy_a15_b10_c40_v3.col,15,10,40,3,358,343,41,0.004919393,MinGrau
galaxy_a15_b10_c40_v4.col,15,10,40,4,341,326,38,0.004607894,MinGrau
galaxy_a15_b10_c40_v5.col,15,10,40,5,360,345,39,0.005493193,MinGrau
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,48,0.012401883,MinGrau
galaxy_a15_b10_c50_v2.col,15,10,50,2,465,450,50,0.010826485,MinGrau
galaxy_a15_b10_c50_v3.col,15,10,50,3,546,531,51,0.018491773,MinGrau
galaxy_a15_b10_c50_v4.col,15,10,50,4,372,357,49,0.005386792,MinGrau
galaxy_a15_b10_c50_v5.col,15,10,50,5,497,482,51,0.012365382,MinGrau
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,59,0.023397065,MinGrau
galaxy_a15_b10_c60_v2.col,15,10,60,2,580,565,61,0.019930868,MinGrau
galaxy_a15_b10_c60_v3.col,15,10,60,3,510,495,60,0.014026877,MinGrau
galaxy_a15_b10_c60_v4.col,15,10,60,4,509,494,56,0.013521978,MinGrau
galaxy_a15_b10_c60_v5.col,15,10,60,5,537,522,60,0.016010972,MinGrau
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,67,0.017682674,MinGrau
galaxy_a15_b10_c70_v2.col,15,10,70,2,547,532,62,0.018673871,MinGrau
galaxy_a15_b10_c70_v3.col,15,10,70,3,590,575,59,0.020777466,MinGrau
galaxy_a15_b10_c70_v4.col,15,10,70,4,674,659,71,0.035090841,MinGrau
galaxy_a15_b10_c70_v5.col,15,10,70,5,712,697,70,0.038607432,MinGrau
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,74,0.018373765,MinGrau
galaxy_a15_b10_c80_v2.col,15,10,80,2,694,679,76,0.038063924,MinGrau
galaxy_a15_b10_c80_v3.col,15,10,80,3,589,574,80,0.025928747,MinGrau
galaxy_a15_b10_c80_v4.col,15,10,80,4,657,642,78,0.032052607,MinGrau
galaxy_a15_b10_c80_v5.col,15,10,80,5,832,817,81,0.086529604,MinGrau
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,85,0.040488596,MinGrau
galaxy_a15_b10_c90_v2.col,15,10,90,2,820,805,89,0.062896941,MinGrau
galaxy_a15_b10_c90_v3.col,15,10,90,3,782,767,83,0.050868074,MinGrau
galaxy_a15_b10_c90_v4.col,15,10,90,4,711,696,91,0.041808831,MinGrau
galaxy_a15_b10_c90_v5.col,15,10,90,5,666,651,91,0.037754834,MinGrau
