b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,20,0.63387,0.0861,1561,1461,3,115.2,100,galaxy_a100_b10_c20_v3.col,1.8547
10,20,0.58333,0.0024,1660,1560,4,114.2,100,galaxy_a100_b10_c20_v4.col,0.3742
10,20,0.54541,0.0028,1571,1471,5,112.6,100,galaxy_a100_b10_c20_v5.col,1.4353
10,30,0.87931,0.0826,2041,1941,1,119.2,100,galaxy_a100_b10_c30_v1.col,0.7348
10,30,0.86689,0.011,2092,1992,2,118.4,100,galaxy_a100_b10_c30_v2.col,0.9274
10,30,1.00242,0.0847,2188,2088,3,118.4,100,galaxy_a100_b10_c30_v3.col,1.2884
10,30,0.76999,0.0032,2001,1901,4,117.2,100,galaxy_a100_b10_c30_v4.col,1.3928
10,30,0.76468,0.0021,1985,1885,5,118.0,100,galaxy_a100_b10_c30_v5.col,0.4472
10,40,1.29309,0.0953,2631,2531,1,123.0,100,galaxy_a100_b10_c40_v1.col,1.0488
10,40,1.3297,0.0851,2674,2574,2,122.8,100,galaxy_a100_b10_c40_v2.col,0.9695
10,40,1.09747,0.006,2496,2396,3,119.0,100,galaxy_a100_b10_c40_v3.col,1.5811
10,40,1.10786,0.0773,2400,2300,4,122.0,100,galaxy_a100_b10_c40_v4.col,1.2247
10,40,1.1544,0.0056,2555,2455,5,122.2,100,galaxy_a100_b10_c40_v5.col,0.7348
10,50,1.59447,0.0784,2995,2895,1,124.2,100,galaxy_a100_b10_c50_v1.col,1.2
10,50,1.58659,0.0781,3021,2921,2,126.6,100,galaxy_a100_b10_c50_v2.col,0.4
10,50,1.63815,0.0774,3012,2912,3,125.0,100,galaxy_a100_b10_c50_v3.col,1.5811
10,50,1.80537,0.0783,3256,3156,4,128.6,100,galaxy_a100_b10_c50_v4.col,0.8718
10,50,1.6837,0.0863,3075,2975,5,126.0,100,galaxy_a100_b10_c50_v5.col,1.7029
10,60,1.9973,0.1002,3448,3348,1,130.0,100,galaxy_a100_b10_c60_v1.col,0.8944
10,60,2.10011,0.0863,3563,3463,2,132.6,100,galaxy_a100_b10_c60_v2.col,1.1225
10,60,2.20676,0.1055,3582,3482,3,132.0,100,galaxy_a100_b10_c60_v3.col,1.4142
10,60,2.05967,0.0834,3518,3418,4,132.2,100,galaxy_a100_b10_c60_v4.col,0.5831
10,60,2.22065,0.0784,3714,3614,5,132.6,100,galaxy_a100_b10_c60_v5.col,0.8718
10,70,2.48036,0.0726,3990,3890,1,137.6,100,galaxy_a100_b10_c70_v1.col,1.7493
10,70,2.80024,0.0936,4165,4065,2,138.2,100,galaxy_a100_b10_c70_v2.col,1.9849
10,70,2.92565,0.074,4326,4226,3,140.6,100,galaxy_a100_b10_c70_v3.col,1.5033
10,70,2.74061,0.0728,4240,4140,4,140.2,100,galaxy_a100_b10_c70_v4.col,1.1136
10,70,2.48885,0.0648,3969,3869,5,135.4,100,galaxy_a100_b10_c70_v5.col,1.4697
10,80,3.18549,0.1066,4490,4390,1,143.6,100,galaxy_a100_b10_c80_v1.col,1.2884
10,80,3.61991,0.0749,4929,4829,2,148.4,100,galaxy_a100_b10_c80_v2.col,0.9274
10,80,3.52015,0.1024,4785,4685,3,147.4,100,galaxy_a100_b10_c80_v3.col,0.6782
10,80,3.46973,0.0788,4712,4612,4,145.6,100,galaxy_a100_b10_c80_v4.col,1.2884
10,80,3.11923,0.0787,4537,4437,5,141.8,100,galaxy_a100_b10_c80_v5.col,1.3191
10,90,4.00641,0.0887,5110,5010,1,148.8,100,galaxy_a100_b10_c90_v1.col,2.7459
10,90,4.2934,0.0845,5347,5247,2,154.8,100,galaxy_a100_b10_c90_v2.col,2.0591
10,90,4.34713,0.0547,5523,5423,3,155.8,100,galaxy_a100_b10_c90_v3.col,2.4576
10,90,4.2347,0.0898,5349,5249,4,151.0,100,galaxy_a100_b10_c90_v4.col,2.5495
10,90,4.31897,0.0957,5416,5316,5,152.8,100,galaxy_a100_b10_c90_v5.col,1.4967
10,100,0.09817,0.0011,510,500,1,94.0,10,galaxy_a10_b10_c100_v1.col,0.0
10,100,0.14249,0.0009,650,640,2,97.0,10,galaxy_a10_b10_c100_v2.col,0.0
10,100,0.12419,0.001,600,590,3,98.0,10,galaxy_a10_b10_c100_v3.col,0.0
10,100,0.12648,0.0003,601,591,4,101.0,10,galaxy_a10_b10_c100_v4.col,0.0
10,100,0.10711,0.0004,545,535,5,88.0,10,galaxy_a10_b10_c100_v5.col,0.0
10,20,0.01835,0.0004,164,154,1,22.8,10,galaxy_a10_b10_c20_v1.col,0.2
10,20,0.01711,0.0005,159,149,2,22.0,10,galaxy_a10_b10_c20_v2.col,0.0
10,20,0.01744,0.0006,160,150,3,22.4,10,galaxy_a10_b10_c20_v3.col,0.2449
10,20,0.01506,0.0005,147,137,4,21.0,10,galaxy_a10_b10_c20_v4.col,0.0
10,20,0.01848,0.0004,167,157,5,23.6,10,galaxy_a10_b10_c20_v5.col,0.2449
10,30,0.02744,0.0004,218,208,1,28.8,10,galaxy_a10_b10_c30_v1.col,0.2
10,30,0.02828,0.0005,222,212,2,31.2,10,galaxy_a10_b10_c30_v2.col,0.2
10,30,0.02608,0.0004,208,198,3,27.6,10,galaxy_a10_b10_c30_v3.col,0.2449
10,30,0.02419,0.0004,196,186,4,28.0,10,galaxy_a10_b10_c30_v4.col,0.0
10,30,0.0263,0.0005,212,202,5,31.0,10,galaxy_a10_b10_c30_v5.col,0.0
10,40,0.03135,0.0005,245,235,1,37.0,10,galaxy_a10_b10_c40_v1.col,0.0
10,40,0.03244,0.0004,246,236,2,39.0,10,galaxy_a10_b10_c40_v2.col,0.0
10,40,0.03871,0.0006,279,269,3,41.0,10,galaxy_a10_b10_c40_v3.col,0.0
10,40,0.03468,0.0005,259,249,4,38.0,10,galaxy_a10_b10_c40_v4.col,0.0
10,40,0.03508,0.0006,262,252,5,41.0,10,galaxy_a10_b10_c40_v5.col,0.0
10,50,0.05058,0.0006,337,327,1,51.0,10,galaxy_a10_b10_c50_v1.col,0.0
10,50,0.05695,0.0002,376,366,2,50.0,10,galaxy_a10_b10_c50_v2.col,0.0
10,50,0.05398,0.0005,351,341,3,49.4,10,galaxy_a10_b10_c50_v3.col,0.2449
