instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a10_b10_c70_v4.col,10,10,70,4,430,420,420,0.291790933,69,0.020748967,421,0.284387849
galaxy_a10_b10_c70_v5.col,10,10,70,5,456,446,446,0.203258774,69,0.012766279,447,0.235432923
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,459,0.239685199,77,0.03031625,460,0.221497929
galaxy_a10_b10_c80_v2.col,10,10,80,2,519,509,509,0.449848316,79,0.064250592,510,0.352707108
galaxy_a10_b10_c80_v3.col,10,10,80,3,575,565,565,0.365322944,82,0.024961257,566,0.398581001
galaxy_a10_b10_c80_v4.col,10,10,80,4,435,425,425,0.171820359,75,0.011057098,426,0.162949971
galaxy_a10_b10_c80_v5.col,10,10,80,5,424,414,414,0.168278157,77,0.009161297,415,0.129702767
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,540,0.354619782,90,0.022370893,541,0.327822613
galaxy_a10_b10_c90_v2.col,10,10,90,2,618,608,608,0.585214366,85,0.032732789,609,0.442192753
galaxy_a10_b10_c90_v3.col,10,10,90,3,438,428,428,0.19684561,71,0.011167596,429,0.19462782
galaxy_a10_b10_c90_v4.col,10,10,90,4,475,465,465,0.206877799,89,0.016643192,466,0.206667899
galaxy_a10_b10_c90_v5.col,10,10,90,5,593,583,583,0.392799179,87,0.042891078,584,0.4096495
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,861,1.319633573,94,0.061069861,862,1.201347373
galaxy_a15_b10_c100_v2.col,15,10,100,2,750,735,735,0.792885111,100,0.068567186,736,0.780597181
galaxy_a15_b10_c100_v3.col,15,10,100,3,939,924,924,1.597202558,102,0.07595751,925,1.518094921
galaxy_a15_b10_c100_v4.col,15,10,100,4,774,759,759,0.874108168,90,0.044054655,760,0.875004772
galaxy_a15_b10_c100_v5.col,15,10,100,5,783,768,768,1.007725194,99,0.056703334,769,0.90043638
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,236,0.032556963,26,0.001885098,237,0.030303866
galaxy_a15_b10_c20_v2.col,15,10,20,2,265,250,250,0.036850058,27,0.002086198,251,0.03445276
galaxy_a15_b10_c20_v3.col,15,10,20,3,239,224,224,0.027345969,25,0.001598698,225,0.025039371
galaxy_a15_b10_c20_v4.col,15,10,20,4,232,217,217,0.027904868,25,0.001437298,218,0.022978674
galaxy_a15_b10_c20_v5.col,15,10,20,5,248,233,233,0.031517763,26,0.001785398,234,0.030245665
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,290,0.059293128,31,0.003339096,291,0.056760831
galaxy_a15_b10_c30_v2.col,15,10,30,2,308,293,293,0.071416014,29,0.003609496,294,0.107829469
galaxy_a15_b10_c30_v3.col,15,10,30,3,319,304,304,0.072575111,31,0.004063295,305,0.069657315
galaxy_a15_b10_c30_v4.col,15,10,30,4,300,285,285,0.058754929,31,0.003184596,286,0.055116534
galaxy_a15_b10_c30_v5.col,15,10,30,5,345,330,330,0.087651594,32,0.004381795,331,0.093050787
