mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.89791,10,20,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1571,1471,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v5.col
1.42825,10,30,0.0,0.0,0.0,0.0,0.1198,0.0,0.0,2041,1941,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v1.col
1.55424,10,30,0.0,0.0,0.0,0.0,0.0551,0.0,0.0,2092,1992,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v2.col
1.62829,10,30,0.0,0.0,0.0,0.0,0.1256,0.0,0.0,2188,2088,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v3.col
1.27659,10,30,0.0,0.0,0.0,0.0,0.003,0.0,0.0,2001,1901,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v4.col
1.40234,10,30,0.0,0.0,0.0,0.0,0.1271,0.0,0.0,1985,1885,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v5.col
1.97004,10,40,0.0,0.0,0.0,0.0,0.0188,0.0,0.0,2631,2531,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v1.col
2.35183,10,40,0.0,0.0,0.0,0.0,0.1391,0.0,0.0,2674,2574,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v2.col
1.87157,10,40,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2496,2396,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v3.col
1.98703,10,40,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,2400,2300,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v4.col
2.14235,10,40,0.0,0.0,0.0,0.0,0.0531,0.0,0.0,2555,2455,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v5.col
2.82225,10,50,0.0,0.0,0.0,0.0,0.1049,0.0,0.0,2995,2895,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v1.col
2.91469,10,50,0.0,0.0,0.0,0.0,0.1626,0.0,0.0,3021,2921,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v2.col
2.74493,10,50,0.0,0.0,0.0,0.0,0.1282,0.0,0.0,3012,2912,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v3.col
2.96276,10,50,0.0,0.0,0.0,0.0,0.1261,0.0,0.0,3256,3156,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v4.col
3.11713,10,50,0.0,0.0,0.0,0.0,0.1486,0.0,0.0,3075,2975,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v5.col
3.16847,10,60,0.0,0.0,0.0,0.0,0.1123,0.0,0.0,3448,3348,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v1.col
3.46031,10,60,0.0,0.0,0.0,0.0,0.1265,0.0,0.0,3563,3463,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v2.col
3.59545,10,60,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,3582,3482,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v3.col
3.36992,10,60,0.0,0.0,0.0,0.0,0.1224,0.0,0.0,3518,3418,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v4.col
3.62151,10,60,0.0,0.0,0.0,0.0,0.1169,0.0,0.0,3714,3614,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v5.col
4.06569,10,70,0.0,0.0,0.0,0.0,0.1205,0.0,0.0,3990,3890,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v1.col
4.59907,10,70,0.0,0.0,0.0,0.0,0.1514,0.0,0.0,4165,4065,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v2.col
4.83619,10,70,0.0,0.0,0.0,0.0,0.1396,0.0,0.0,4326,4226,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v3.col
4.82379,10,70,0.0,0.0,0.0,0.0,0.1191,0.0,0.0,4240,4140,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v4.col
4.17806,10,70,0.0,0.0,0.0,0.0,0.1161,0.0,0.0,3969,3869,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v5.col
5.63062,10,80,0.0,0.0,0.0,0.0,0.1736,0.0,0.0,4490,4390,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v1.col
6.69592,10,80,0.0,0.0,0.0,0.0,0.1348,0.0,0.0,4929,4829,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v2.col
6.11429,10,80,0.0,0.0,0.0,0.0,0.2156,0.0,0.0,4785,4685,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v3.col
5.84331,10,80,0.0,0.0,0.0,0.0,0.1552,0.0,0.0,4712,4612,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v4.col
