b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,90,0.07113,0.0104,239,234,1,88.0,5,galaxy_a05_b10_c90_v1.col,0.0
10,90,0.09421,0.0075,312,307,2,90.0,5,galaxy_a05_b10_c90_v2.col,0.0
10,90,0.06212,0.0016,252,247,3,69.0,5,galaxy_a05_b10_c90_v3.col,0.0
10,90,0.06146,0.0105,221,216,4,78.0,5,galaxy_a05_b10_c90_v4.col,0.0
10,90,0.07103,0.0042,254,249,5,90.0,5,galaxy_a05_b10_c90_v5.col,0.0
10,100,7.96283,0.2058,5804,5704,1,159.8,100,galaxy_a100_b10_c100_v1.col,1.5297
10,100,7.5648,0.1848,5555,5455,2,153.4,100,galaxy_a100_b10_c100_v2.col,1.631
10,100,7.82691,0.1428,5712,5612,3,158.6,100,galaxy_a100_b10_c100_v3.col,0.4
10,100,8.41299,0.227,5713,5613,4,157.8,100,galaxy_a100_b10_c100_v4.col,1.0677
10,100,9.1823,0.1806,6255,6155,5,165.2,100,galaxy_a100_b10_c100_v5.col,1.772
10,20,0.92446,0.0054,1608,1508,1,116.0,100,galaxy_a100_b10_c20_v1.col,1.6432
10,20,0.96514,0.0041,1614,1514,2,117.6,100,galaxy_a100_b10_c20_v2.col,2.6758
10,20,1.05754,0.143,1561,1461,3,116.0,100,galaxy_a100_b10_c20_v3.col,1.3416
10,20,0.96361,0.006,1660,1560,4,117.2,100,galaxy_a100_b10_c20_v4.col,2.2672
10,20,0.90506,0.003,1571,1471,5,116.4,100,galaxy_a100_b10_c20_v5.col,1.631
10,30,1.43353,0.1204,2041,1941,1,116.8,100,galaxy_a100_b10_c30_v1.col,0.5831
10,30,1.56036,0.0543,2092,1992,2,115.6,100,galaxy_a100_b10_c30_v2.col,0.6782
10,30,1.63621,0.1263,2188,2088,3,117.2,100,galaxy_a100_b10_c30_v3.col,1.2806
10,30,1.28471,0.0033,2001,1901,4,119.6,100,galaxy_a100_b10_c30_v4.col,2.358
10,30,1.4104,0.127,1985,1885,5,114.4,100,galaxy_a100_b10_c30_v5.col,1.077
10,40,1.97754,0.0196,2631,2531,1,122.8,100,galaxy_a100_b10_c40_v1.col,1.0677
10,40,2.36211,0.1401,2674,2574,2,125.0,100,galaxy_a100_b10_c40_v2.col,1.0
10,40,1.87791,0.0199,2496,2396,3,122.6,100,galaxy_a100_b10_c40_v3.col,1.1225
10,40,1.99627,0.1356,2400,2300,4,119.2,100,galaxy_a100_b10_c40_v4.col,1.1576
10,40,2.14993,0.0526,2555,2455,5,123.8,100,galaxy_a100_b10_c40_v5.col,1.1136
10,50,2.83206,0.1049,2995,2895,1,125.0,100,galaxy_a100_b10_c50_v1.col,0.8944
10,50,2.9254,0.1636,3021,2921,2,125.2,100,galaxy_a100_b10_c50_v2.col,1.0677
10,50,2.7563,0.1284,3012,2912,3,127.4,100,galaxy_a100_b10_c50_v3.col,0.7483
10,50,2.97273,0.1271,3256,3156,4,128.0,100,galaxy_a100_b10_c50_v4.col,1.2649
10,50,3.12982,0.1491,3075,2975,5,122.6,100,galaxy_a100_b10_c50_v5.col,1.7776
10,60,3.18168,0.1123,3448,3348,1,130.6,100,galaxy_a100_b10_c60_v1.col,0.6782
10,60,3.47072,0.1271,3563,3463,2,131.8,100,galaxy_a100_b10_c60_v2.col,2.0347
10,60,3.60944,0.1462,3582,3482,3,131.8,100,galaxy_a100_b10_c60_v3.col,1.0677
10,60,3.38059,0.1231,3518,3418,4,129.8,100,galaxy_a100_b10_c60_v4.col,1.1576
10,60,3.63363,0.1177,3714,3614,5,132.4,100,galaxy_a100_b10_c60_v5.col,1.4697
10,70,4.08036,0.1206,3990,3890,1,135.8,100,galaxy_a100_b10_c70_v1.col,1.0677
10,70,4.61297,0.1516,4165,4065,2,137.2,100,galaxy_a100_b10_c70_v2.col,2.1772
10,70,4.85333,0.1413,4326,4226,3,136.4,100,galaxy_a100_b10_c70_v3.col,1.4697
10,70,4.83842,0.1187,4240,4140,4,139.6,100,galaxy_a100_b10_c70_v4.col,0.5099
10,70,4.19159,0.1166,3969,3869,5,138.4,100,galaxy_a100_b10_c70_v5.col,0.6782
10,80,5.64857,0.1753,4490,4390,1,145.0,100,galaxy_a100_b10_c80_v1.col,1.3784
10,80,6.71296,0.1348,4929,4829,2,148.8,100,galaxy_a100_b10_c80_v2.col,0.3742
10,80,6.12963,0.2164,4785,4685,3,147.2,100,galaxy_a100_b10_c80_v3.col,1.0198
10,80,5.85754,0.1558,4712,4612,4,145.2,100,galaxy_a100_b10_c80_v4.col,1.3191
10,80,5.22203,0.1188,4537,4437,5,143.2,100,galaxy_a100_b10_c80_v5.col,1.7146
10,90,6.59002,0.1414,5110,5010,1,146.2,100,galaxy_a100_b10_c90_v1.col,1.6248
10,90,7.27172,0.1061,5347,5247,2,154.4,100,galaxy_a100_b10_c90_v2.col,1.4697
10,90,7.77087,0.1964,5523,5423,3,155.8,100,galaxy_a100_b10_c90_v3.col,1.3928
10,90,7.06982,0.1534,5349,5249,4,152.4,100,galaxy_a100_b10_c90_v4.col,1.2083
10,90,7.15465,0.1241,5416,5316,5,151.6,100,galaxy_a100_b10_c90_v5.col,1.2884
10,100,0.16283,0.001,510,500,1,94.0,10,galaxy_a10_b10_c100_v1.col,0.0
10,100,0.36256,0.1234,650,640,2,97.0,10,galaxy_a10_b10_c100_v2.col,0.0
10,100,0.20058,0.0016,600,590,3,98.0,10,galaxy_a10_b10_c100_v3.col,0.0
10,100,0.26473,0.018,601,591,4,101.0,10,galaxy_a10_b10_c100_v4.col,0.0
10,100,0.17923,0.0168,545,535,5,88.0,10,galaxy_a10_b10_c100_v5.col,0.0
10,20,0.04567,0.005,164,154,1,22.6,10,galaxy_a10_b10_c20_v1.col,0.2449
10,20,0.03148,0.0029,159,149,2,22.4,10,galaxy_a10_b10_c20_v2.col,0.2449
10,20,0.0437,0.0068,160,150,3,22.8,10,galaxy_a10_b10_c20_v3.col,0.2
10,20,0.03352,0.0059,147,137,4,21.0,10,galaxy_a10_b10_c20_v4.col,0.0
10,20,0.03281,0.0037,167,157,5,23.2,10,galaxy_a10_b10_c20_v5.col,0.2
