b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
500,548,30,5.5801,548,528,600,15149,3,100,5.5213,bi_a100_b500_p30%_v3.col,10.8702
500,537,30,5.4331,537,524,600,15116,4,100,5.4053,bi_a100_b500_p30%_v4.col,10.5702
500,539,30,5.1326,539,529,600,14883,5,100,5.1173,bi_a100_b500_p30%_v5.col,11.0304
500,567,40,8.0877,567,551,600,20050,1,100,8.1061,bi_a100_b500_p40%_v1.col,19.818
500,564,40,8.0152,564,554,600,19920,2,100,7.9889,bi_a100_b500_p40%_v2.col,20.3984
500,567,40,8.0143,567,552,600,20094,3,100,8.1519,bi_a100_b500_p40%_v3.col,20.5778
500,565,40,8.1306,565,552,600,20053,4,100,8.1261,bi_a100_b500_p40%_v4.col,21.2542
500,569,40,8.2661,569,553,600,20043,5,100,8.2021,bi_a100_b500_p40%_v5.col,20.2878
500,578,50,10.5611,578,570,600,25075,1,100,11.1579,bi_a100_b500_p50%_v1.col,30.9074
500,577,50,10.7854,577,571,600,24945,2,100,11.0258,bi_a100_b500_p50%_v2.col,31.6959
500,576,50,10.603,576,568,600,24951,3,100,10.9681,bi_a100_b500_p50%_v3.col,30.3788
500,579,50,10.7042,579,569,600,25104,4,100,11.271,bi_a100_b500_p50%_v4.col,30.6287
500,577,50,10.9767,577,569,600,24738,5,100,11.1554,bi_a100_b500_p50%_v5.col,31.6238
500,584,60,11.8524,584,580,600,29954,1,100,12.3528,bi_a100_b500_p60%_v1.col,39.1482
500,584,60,12.0755,584,578,600,29933,2,100,12.8322,bi_a100_b500_p60%_v2.col,38.8417
500,585,60,12.0934,585,579,600,30037,3,100,12.5358,bi_a100_b500_p60%_v3.col,38.4758
500,587,60,12.0609,587,578,600,30038,4,100,12.8002,bi_a100_b500_p60%_v4.col,38.5806
500,584,60,11.972,584,581,600,30091,5,100,12.4402,bi_a100_b500_p60%_v5.col,40.6397
500,590,70,12.1575,590,587,600,35049,1,100,12.6884,bi_a100_b500_p70%_v1.col,44.9436
500,590,70,12.0094,590,585,600,35055,2,100,12.8008,bi_a100_b500_p70%_v2.col,44.2042
500,589,70,12.0358,589,584,600,34835,3,100,12.5959,bi_a100_b500_p70%_v3.col,43.1404
500,588,70,11.9982,588,585,600,34933,4,100,12.5075,bi_a100_b500_p70%_v4.col,44.0577
500,590,70,11.9965,590,586,600,34887,5,100,12.8536,bi_a100_b500_p70%_v5.col,43.9358
500,593,80,11.573,593,591,600,40002,1,100,11.9919,bi_a100_b500_p80%_v1.col,47.9285
500,593,80,11.6179,593,591,600,39945,2,100,12.0739,bi_a100_b500_p80%_v2.col,48.2284
500,594,80,11.7117,594,589,600,40056,3,100,12.1353,bi_a100_b500_p80%_v3.col,47.0082
500,593,80,11.7137,593,591,600,39985,4,100,12.3065,bi_a100_b500_p80%_v4.col,48.0765
500,593,80,11.7287,593,591,600,39903,5,100,12.137,bi_a100_b500_p80%_v5.col,47.904
500,595,90,11.2084,595,595,600,45019,1,100,11.2911,bi_a100_b500_p90%_v1.col,50.6885
500,595,90,11.0262,595,594,600,44905,2,100,11.3788,bi_a100_b500_p90%_v2.col,49.3503
500,596,90,11.1726,596,594,600,44855,3,100,11.493,bi_a100_b500_p90%_v3.col,49.7267
500,596,90,11.3054,596,595,600,45060,4,100,11.4733,bi_a100_b500_p90%_v4.col,49.8845
500,595,90,11.2015,595,594,600,44926,5,100,11.5287,bi_a100_b500_p90%_v5.col,49.3504
1000,248,1,2.9532,246,104,1100,1016,1,100,2.2066,bi_a100_b1000_p01%_v1.col,0.7785
1000,299,1,2.0658,299,103,1100,985,2,100,2.0862,bi_a100_b1000_p01%_v2.col,0.744
1000,229,1,1.7958,229,102,1100,1007,3,100,1.9246,bi_a100_b1000_p01%_v3.col,0.7485
1000,272,1,2.0231,272,103,1100,1017,4,100,2.0429,bi_a100_b1000_p01%_v4.col,0.7786
1000,248,1,1.8917,246,103,1100,996,5,100,1.9117,bi_a100_b1000_p01%_v5.col,0.752
1000,186,3,3.0231,186,128,1100,2996,1,100,3.0872,bi_a100_b1000_p03%_v1.col,2.0854
1000,188,3,2.9891,188,134,1100,2967,2,100,2.9835,bi_a100_b1000_p03%_v2.col,2.2162
1000,192,3,3.0179,192,130,1100,2949,3,100,3.0673,bi_a100_b1000_p03%_v3.col,2.1379
1000,186,3,2.9161,186,133,1100,2942,4,100,2.978,bi_a100_b1000_p03%_v4.col,2.2332
1000,207,3,3.3107,207,129,1100,2936,5,100,3.2014,bi_a100_b1000_p03%_v5.col,2.0966
1000,179,5,3.519,179,170,1100,5012,1,100,3.6045,bi_a100_b1000_p05%_v1.col,4.4816
1000,185,5,3.6052,185,167,1100,4918,2,100,3.5894,bi_a100_b1000_p05%_v2.col,4.2443
1000,176,5,3.5212,176,170,1100,4997,3,100,3.4853,bi_a100_b1000_p05%_v3.col,4.4838
1000,190,5,3.6258,190,170,1100,5031,4,100,3.6656,bi_a100_b1000_p05%_v4.col,4.4133
1000,174,5,3.5056,174,169,1100,4978,5,100,3.5724,bi_a100_b1000_p05%_v5.col,4.3698
1000,241,10,5.4743,241,304,1100,10054,1,100,5.4873,bi_a100_b1000_p10%_v1.col,18.705
1000,236,10,5.3904,236,304,1100,10092,2,100,5.4179,bi_a100_b1000_p10%_v2.col,17.7454
1000,233,10,5.4454,233,302,1100,9994,3,100,5.583,bi_a100_b1000_p10%_v3.col,18.1474
1000,235,10,5.405,235,305,1100,10029,4,100,5.4482,bi_a100_b1000_p10%_v4.col,18.0046
1000,235,10,5.4347,235,304,1100,10078,5,100,5.4809,bi_a100_b1000_p10%_v5.col,17.8868
1000,542,20,15.738,542,656,1100,19912,1,100,15.4738,bi_a100_b1000_p20%_v1.col,66.9903
1000,546,20,16.1507,546,667,1100,20051,2,100,16.1817,bi_a100_b1000_p20%_v2.col,69.2714
1000,546,20,15.7363,546,665,1100,20015,3,100,15.7162,bi_a100_b1000_p20%_v3.col,69.1018
1000,541,20,15.9048,541,659,1100,19808,4,100,15.8667,bi_a100_b1000_p20%_v4.col,65.5501
1000,538,20,15.0516,538,654,1100,19748,5,100,15.2617,bi_a100_b1000_p20%_v5.col,64.4264
1000,1012,30,35.9502,1012,999,1100,29774,1,100,35.6785,bi_a100_b1000_p30%_v1.col,101.1205
1000,1020,30,36.8117,1020,1004,1100,30170,2,100,36.638,bi_a100_b1000_p30%_v2.col,111.3329
1000,1021,30,36.7235,1021,1006,1100,30328,3,100,36.6933,bi_a100_b1000_p30%_v3.col,118.6566
1000,1016,30,36.9233,1016,1005,1100,29832,4,100,36.8267,bi_a100_b1000_p30%_v4.col,113.8208
1000,1005,30,36.1617,1005,991,1100,29761,5,100,36.2137,bi_a100_b1000_p30%_v5.col,106.3024
1000,1065,40,48.186,1065,1047,1100,39882,1,100,48.2763,bi_a100_b1000_p40%_v1.col,210.4984
1000,1066,40,48.9281,1066,1049,1100,39993,2,100,49.2066,bi_a100_b1000_p40%_v2.col,217.9085
1000,1064,40,48.4684,1064,1046,1100,40117,3,100,48.3092,bi_a100_b1000_p40%_v3.col,200.8305
1000,1063,40,48.3277,1063,1047,1100,40206,4,100,48.6198,bi_a100_b1000_p40%_v4.col,205.8558
1000,1063,40,47.8212,1063,1047,1100,40131,5,100,47.9684,bi_a100_b1000_p40%_v5.col,206.5506
1000,1074,50,58.1216,1074,1065,1100,49850,1,100,59.7884,bi_a100_b1000_p50%_v1.col,314.5333
1000,1075,50,57.329,1075,1066,1100,50038,2,100,58.5884,bi_a100_b1000_p50%_v2.col,325.3129
1000,1076,50,58.6393,1076,1066,1100,49784,3,100,60.1579,bi_a100_b1000_p50%_v3.col,321.8866
1000,1077,50,59.5438,1077,1065,1100,49973,4,100,60.4741,bi_a100_b1000_p50%_v4.col,315.901
1000,1078,50,59.3088,1078,1067,1100,50175,5,100,60.6207,bi_a100_b1000_p50%_v5.col,329.297
1000,1086,60,63.1718,1086,1077,1100,59993,1,100,66.149,bi_a100_b1000_p60%_v1.col,407.4244
1000,1085,60,62.6927,1085,1078,1100,59999,2,100,64.7608,bi_a100_b1000_p60%_v2.col,406.7682
1000,1083,60,62.8777,1083,1078,1100,60016,3,100,64.8895,bi_a100_b1000_p60%_v3.col,406.3195
1000,1083,60,62.8628,1083,1078,1100,60010,4,100,65.4767,bi_a100_b1000_p60%_v4.col,418.0287
1000,1083,60,64.1374,1083,1077,1100,59754,5,100,65.904,bi_a100_b1000_p60%_v5.col,405.201
1000,1087,70,64.1259,1087,1084,1100,70111,1,100,66.8147,bi_a100_b1000_p70%_v1.col,467.9421
1000,1090,70,62.7931,1090,1085,1100,70169,2,100,64.8426,bi_a100_b1000_p70%_v2.col,471.4992
1000,1091,70,64.2659,1091,1083,1100,70178,3,100,66.6856,bi_a100_b1000_p70%_v3.col,463.6404
1000,1088,70,63.3634,1088,1084,1100,70090,4,100,65.1445,bi_a100_b1000_p70%_v4.col,467.2956
1000,1088,70,63.2407,1088,1085,1100,70187,5,100,65.5711,bi_a100_b1000_p70%_v5.col,478.2174
1000,1092,80,63.917,1092,1090,1100,80051,1,100,65.8434,bi_a100_b1000_p80%_v1.col,520.0166
1000,1093,80,61.7697,1093,1090,1100,80061,2,100,64.0569,bi_a100_b1000_p80%_v2.col,519.3008
1000,1092,80,61.3715,1092,1090,1100,79942,3,100,63.5158,bi_a100_b1000_p80%_v3.col,519.2178
1000,1092,80,62.8707,1092,1089,1100,80154,4,100,64.6281,bi_a100_b1000_p80%_v4.col,513.4482
1000,1094,80,62.4234,1094,1089,1100,80014,5,100,64.6112,bi_a100_b1000_p80%_v5.col,508.7991
1000,1095,90,61.5675,1095,1094,1100,89871,1,100,62.5876,bi_a100_b1000_p90%_v1.col,552.1667
1000,1095,90,61.6496,1095,1094,1100,90013,2,100,62.622,bi_a100_b1000_p90%_v2.col,547.4064
1000,1095,90,60.9264,1095,1094,1100,89866,3,100,62.0936,bi_a100_b1000_p90%_v3.col,546.9478
1000,1095,90,61.2045,1095,1094,1100,89909,4,100,62.8775,bi_a100_b1000_p90%_v4.col,547.3158
1000,1095,90,61.492,1095,1094,1100,89908,5,100,62.4562,bi_a100_b1000_p90%_v5.col,551.7558
500,277,1,3.2083,236,337,1000,2537,1,500,4.0734,bi_a500_b500_p01%_v1.col,6.0834
500,308,1,2.8,211,337,1000,2396,2,500,4.1847,bi_a500_b500_p01%_v2.col,5.8956
500,259,1,2.8336,205,344,1000,2522,3,500,3.6372,bi_a500_b500_p01%_v3.col,6.4573
500,320,1,3.2704,255,371,1000,2462,4,500,4.4004,bi_a500_b500_p01%_v4.col,6.8203
500,239,1,2.9201,194,364,1000,2493,5,500,3.5006,bi_a500_b500_p01%_v5.col,6.5846
500,277,3,7.9647,193,253,1000,7384,1,500,9.6385,bi_a500_b500_p03%_v1.col,9.5161
500,269,3,7.9717,194,253,1000,7474,2,500,9.8889,bi_a500_b500_p03%_v2.col,9.5986
500,247,3,8.239,194,246,1000,7541,3,500,9.2215,bi_a500_b500_p03%_v3.col,9.2723
500,284,3,7.9402,191,253,1000,7501,4,500,10.1749,bi_a500_b500_p03%_v4.col,9.5941
500,267,3,8.012,190,265,1000,7478,5,500,9.6685,bi_a500_b500_p03%_v5.col,10.2714
500,380,5,14.5833,281,337,1000,12438,1,500,18.3122,bi_a500_b500_p05%_v1.col,15.0262
500,338,5,14.5601,284,336,1000,12517,2,500,16.488,bi_a500_b500_p05%_v2.col,14.8728
500,362,5,14.8291,282,337,1000,12417,3,500,17.963,bi_a500_b500_p05%_v3.col,15.1838
500,415,5,15.0537,288,342,1000,12678,4,500,19.5382,bi_a500_b500_p05%_v4.col,15.5601
500,395,5,14.8284,285,335,1000,12596,5,500,18.9403,bi_a500_b500_p05%_v5.col,15.111
