a,b,N,p,M,v,tempo_melhor,heuristica_vencedora,melhor_chi,instancia
100,500,600,60,29933,2,0.0655,MinGrau,578,bi_a100_b500_p60%_v2.col
100,500,600,60,30037,3,0.0601,MinGrau,579,bi_a100_b500_p60%_v3.col
100,500,600,60,30038,4,0.0681,MinGrau,578,bi_a100_b500_p60%_v4.col
100,500,600,60,30091,5,0.0723,MinGrau,581,bi_a100_b500_p60%_v5.col
100,500,600,70,35049,1,0.0894,MinGrau,587,bi_a100_b500_p70%_v1.col
100,500,600,70,35055,2,0.0806,MinGrau,585,bi_a100_b500_p70%_v2.col
100,500,600,70,34835,3,0.076,MinGrau,584,bi_a100_b500_p70%_v3.col
100,500,600,70,34933,4,0.0804,MinGrau,585,bi_a100_b500_p70%_v4.col
100,500,600,70,34887,5,0.0784,MinGrau,586,bi_a100_b500_p70%_v5.col
100,500,600,80,40002,1,0.1028,MinGrau,591,bi_a100_b500_p80%_v1.col
100,500,600,80,39945,2,0.1025,MinGrau,591,bi_a100_b500_p80%_v2.col
100,500,600,80,40056,3,0.1036,MinGrau,589,bi_a100_b500_p80%_v3.col
100,500,600,80,39985,4,0.0928,MinGrau,591,bi_a100_b500_p80%_v4.col
100,500,600,80,39903,5,0.0984,MinGrau,591,bi_a100_b500_p80%_v5.col
100,500,600,90,45019,1,0.1018,MaxGrau,595,bi_a100_b500_p90%_v1.col
100,500,600,90,44905,2,0.1068,MinGrau,594,bi_a100_b500_p90%_v2.col
100,500,600,90,44855,3,0.0988,MinGrau,594,bi_a100_b500_p90%_v3.col
100,500,600,90,45060,4,0.0985,MinGrau,595,bi_a100_b500_p90%_v4.col
100,500,600,90,44926,5,0.0977,MinGrau,594,bi_a100_b500_p90%_v5.col
100,1000,1100,1,1016,1,0.0013,MinGrau,104,bi_a100_b1000_p01%_v1.col
100,1000,1100,1,985,2,0.0013,MinGrau,103,bi_a100_b1000_p01%_v2.col
100,1000,1100,1,1007,3,0.0013,MinGrau,102,bi_a100_b1000_p01%_v3.col
100,1000,1100,1,1017,4,0.0013,MinGrau,103,bi_a100_b1000_p01%_v4.col
100,1000,1100,1,996,5,0.0012,MinGrau,103,bi_a100_b1000_p01%_v5.col
100,1000,1100,3,2996,1,0.0021,MinGrau,128,bi_a100_b1000_p03%_v1.col
100,1000,1100,3,2967,2,0.0022,MinGrau,134,bi_a100_b1000_p03%_v2.col
100,1000,1100,3,2949,3,0.0021,MinGrau,130,bi_a100_b1000_p03%_v3.col
100,1000,1100,3,2942,4,0.0021,MinGrau,133,bi_a100_b1000_p03%_v4.col
100,1000,1100,3,2936,5,0.0021,MinGrau,129,bi_a100_b1000_p03%_v5.col
100,1000,1100,5,5012,1,0.0035,MinGrau,170,bi_a100_b1000_p05%_v1.col
100,1000,1100,5,4918,2,0.0034,MinGrau,167,bi_a100_b1000_p05%_v2.col
100,1000,1100,5,4997,3,0.0035,MinGrau,170,bi_a100_b1000_p05%_v3.col
100,1000,1100,5,5031,4,0.0035,MinGrau,170,bi_a100_b1000_p05%_v4.col
100,1000,1100,5,4978,5,0.0035,MinGrau,169,bi_a100_b1000_p05%_v5.col
100,1000,1100,10,10054,1,0.008,MaxGrau,241,bi_a100_b1000_p10%_v1.col
100,1000,1100,10,10092,2,0.0079,MaxGrau,236,bi_a100_b1000_p10%_v2.col
100,1000,1100,10,9994,3,0.0079,MaxGrau,233,bi_a100_b1000_p10%_v3.col
100,1000,1100,10,10029,4,0.0079,MaxGrau,235,bi_a100_b1000_p10%_v4.col
100,1000,1100,10,10078,5,0.0081,MaxGrau,235,bi_a100_b1000_p10%_v5.col
100,1000,1100,20,19912,1,0.0249,MaxGrau,542,bi_a100_b1000_p20%_v1.col
100,1000,1100,20,20051,2,0.0255,MaxGrau,546,bi_a100_b1000_p20%_v2.col
100,1000,1100,20,20015,3,0.025,MaxGrau,546,bi_a100_b1000_p20%_v3.col
100,1000,1100,20,19808,4,0.025,MaxGrau,541,bi_a100_b1000_p20%_v4.col
100,1000,1100,20,19748,5,0.0247,MaxGrau,538,bi_a100_b1000_p20%_v5.col
100,1000,1100,30,29774,1,0.0739,MinGrau,999,bi_a100_b1000_p30%_v1.col
100,1000,1100,30,30170,2,0.064,MinGrau,1004,bi_a100_b1000_p30%_v2.col
100,1000,1100,30,30328,3,0.0692,MinGrau,1006,bi_a100_b1000_p30%_v3.col
100,1000,1100,30,29832,4,0.0622,MinGrau,1005,bi_a100_b1000_p30%_v4.col
100,1000,1100,30,29761,5,0.0695,MinGrau,991,bi_a100_b1000_p30%_v5.col
100,1000,1100,40,39882,1,0.137,MinGrau,1047,bi_a100_b1000_p40%_v1.col
100,1000,1100,40,39993,2,0.1322,MinGrau,1049,bi_a100_b1000_p40%_v2.col
100,1000,1100,40,40117,3,0.1206,MinGrau,1046,bi_a100_b1000_p40%_v3.col
100,1000,1100,40,40206,4,0.1234,MinGrau,1047,bi_a100_b1000_p40%_v4.col
100,1000,1100,40,40131,5,0.1091,MinGrau,1047,bi_a100_b1000_p40%_v5.col
100,1000,1100,50,49850,1,0.1853,MinGrau,1065,bi_a100_b1000_p50%_v1.col
100,1000,1100,50,50038,2,0.207,MinGrau,1066,bi_a100_b1000_p50%_v2.col
100,1000,1100,50,49784,3,0.2108,MinGrau,1066,bi_a100_b1000_p50%_v3.col
100,1000,1100,50,49973,4,0.165,MinGrau,1065,bi_a100_b1000_p50%_v4.col
100,1000,1100,50,50175,5,0.1901,MinGrau,1067,bi_a100_b1000_p50%_v5.col
100,1000,1100,60,59993,1,0.2426,MinGrau,1077,bi_a100_b1000_p60%_v1.col
100,1000,1100,60,59999,2,0.2546,MinGrau,1078,bi_a100_b1000_p60%_v2.col
100,1000,1100,60,60016,3,0.2487,MinGrau,1078,bi_a100_b1000_p60%_v3.col
100,1000,1100,60,60010,4,0.2489,MinGrau,1078,bi_a100_b1000_p60%_v4.col
100,1000,1100,60,59754,5,0.2264,MinGrau,1077,bi_a100_b1000_p60%_v5.col
100,1000,1100,70,70111,1,0.2986,MinGrau,1084,bi_a100_b1000_p70%_v1.col
100,1000,1100,70,70169,2,0.3103,MinGrau,1085,bi_a100_b1000_p70%_v2.col
100,1000,1100,70,70178,3,0.3467,MinGrau,1083,bi_a100_b1000_p70%_v3.col
100,1000,1100,70,70090,4,0.2858,MinGrau,1084,bi_a100_b1000_p70%_v4.col
100,1000,1100,70,70187,5,0.336,MinGrau,1085,bi_a100_b1000_p70%_v5.col
100,1000,1100,80,80051,1,0.3589,MinGrau,1090,bi_a100_b1000_p80%_v1.col
100,1000,1100,80,80061,2,0.3765,MinGrau,1090,bi_a100_b1000_p80%_v2.col
100,1000,1100,80,79942,3,0.3683,MinGrau,1090,bi_a100_b1000_p80%_v3.col
100,1000,1100,80,80154,4,0.3421,MinGrau,1089,bi_a100_b1000_p80%_v4.col
100,1000,1100,80,80014,5,0.4248,MinGrau,1089,bi_a100_b1000_p80%_v5.col
100,1000,1100,90,89871,1,0.3871,MinGrau,1094,bi_a100_b1000_p90%_v1.col
100,1000,1100,90,90013,2,0.3859,MinGrau,1094,bi_a100_b1000_p90%_v2.col
100,1000,1100,90,89866,3,0.396,MinGrau,1094,bi_a100_b1000_p90%_v3.col
100,1000,1100,90,89909,4,0.4066,MinGrau,1094,bi_a100_b1000_p90%_v4.col
100,1000,1100,90,89908,5,0.3878,MinGrau,1094,bi_a100_b1000_p90%_v5.col
100,5000,5100,1,4865,1,0.016,MinGrau,149,bi_a100_b5000_p01%_v1.col
100,5000,5100,1,5060,2,0.016,MinGrau,152,bi_a100_b5000_p01%_v2.col
100,5000,5100,1,4984,3,0.0159,MinGrau,151,bi_a100_b5000_p01%_v3.col
100,5000,5100,1,5025,4,0.0158,MinGrau,150,bi_a100_b5000_p01%_v4.col
100,5000,5100,1,5086,5,0.0159,MinGrau,154,bi_a100_b5000_p01%_v5.col
100,5000,5100,3,15093,1,0.0317,MinGrau,295,bi_a100_b5000_p03%_v1.col
100,5000,5100,3,14810,2,0.0287,MinGrau,291,bi_a100_b5000_p03%_v2.col
100,5000,5100,3,14980,3,0.0316,MinGrau,293,bi_a100_b5000_p03%_v3.col
100,5000,5100,3,14932,4,0.029,MinGrau,293,bi_a100_b5000_p03%_v4.col
100,5000,5100,3,14882,5,0.0293,MinGrau,292,bi_a100_b5000_p03%_v5.col
100,5000,5100,5,24847,1,0.0514,MaxGrau,355,bi_a100_b5000_p05%_v1.col
100,5000,5100,5,24860,2,0.0517,MaxGrau,347,bi_a100_b5000_p05%_v2.col
100,5000,5100,5,25175,3,0.0523,MaxGrau,350,bi_a100_b5000_p05%_v3.col
100,5000,5100,5,24881,4,0.056,MinGrau,478,bi_a100_b5000_p05%_v4.col
100,5000,5100,5,25045,5,0.0518,MaxGrau,349,bi_a100_b5000_p05%_v5.col
100,5000,5100,10,49858,1,0.1478,MaxGrau,822,bi_a100_b5000_p10%_v1.col
100,5000,5100,10,50148,2,0.157,MaxGrau,829,bi_a100_b5000_p10%_v2.col
100,5000,5100,10,49276,3,0.1454,MaxGrau,805,bi_a100_b5000_p10%_v3.col
100,5000,5100,10,49859,4,0.1478,MaxGrau,822,bi_a100_b5000_p10%_v4.col
100,5000,5100,10,50013,5,0.1546,MaxGrau,832,bi_a100_b5000_p10%_v5.col
100,5000,5100,20,99729,1,0.5286,MaxGrau,2283,bi_a100_b5000_p20%_v1.col
100,5000,5100,20,99940,2,0.5508,MaxGrau,2282,bi_a100_b5000_p20%_v2.col
100,5000,5100,20,99813,3,0.5486,MaxGrau,2286,bi_a100_b5000_p20%_v3.col
100,5000,5100,20,99803,4,0.5505,MaxGrau,2268,bi_a100_b5000_p20%_v4.col
100,5000,5100,20,99635,5,0.5342,MaxGrau,2266,bi_a100_b5000_p20%_v5.col
100,5000,5100,30,150542,1,1.1625,MaxGrau,4674,bi_a100_b5000_p30%_v1.col
100,5000,5100,30,150316,2,1.1596,MaxGrau,4673,bi_a100_b5000_p30%_v2.col
100,5000,5100,30,149916,3,1.1607,MaxGrau,4669,bi_a100_b5000_p30%_v3.col
100,5000,5100,30,149950,4,1.1473,MaxGrau,4648,bi_a100_b5000_p30%_v4.col
100,5000,5100,30,149612,5,1.1527,MaxGrau,4659,bi_a100_b5000_p30%_v5.col
100,5000,5100,40,200269,1,2.9229,MinGrau,5036,bi_a100_b5000_p40%_v1.col
100,5000,5100,40,200106,2,3.06,MinGrau,5038,bi_a100_b5000_p40%_v2.col
100,5000,5100,40,199535,3,2.4756,MinGrau,5035,bi_a100_b5000_p40%_v3.col
100,5000,5100,40,199993,4,2.8265,MinGrau,5034,bi_a100_b5000_p40%_v4.col
100,5000,5100,40,200259,5,2.5682,MinGrau,5036,bi_a100_b5000_p40%_v5.col
100,5000,5100,50,250278,1,3.8411,MinGrau,5060,bi_a100_b5000_p50%_v1.col
100,5000,5100,50,249787,2,4.2932,MinGrau,5057,bi_a100_b5000_p50%_v2.col
100,5000,5100,50,249511,3,4.4743,MinGrau,5059,bi_a100_b5000_p50%_v3.col
100,5000,5100,50,250635,4,3.9357,MinGrau,5059,bi_a100_b5000_p50%_v4.col
100,5000,5100,50,250101,5,3.85,MinGrau,5061,bi_a100_b5000_p50%_v5.col
100,5000,5100,60,300339,1,6.1664,MinGrau,5073,bi_a100_b5000_p60%_v1.col
100,5000,5100,60,299914,2,6.1938,MinGrau,5072,bi_a100_b5000_p60%_v2.col
100,5000,5100,60,299729,3,5.5859,MinGrau,5074,bi_a100_b5000_p60%_v3.col
100,5000,5100,60,299061,4,5.1867,MinGrau,5073,bi_a100_b5000_p60%_v4.col
100,5000,5100,60,300066,5,6.3936,MinGrau,5071,bi_a100_b5000_p60%_v5.col
100,5000,5100,70,350143,1,6.6234,MinGrau,5080,bi_a100_b5000_p70%_v1.col
100,5000,5100,70,350353,2,8.4072,MinGrau,5083,bi_a100_b5000_p70%_v2.col
100,5000,5100,70,350007,3,9.1801,MinGrau,5082,bi_a100_b5000_p70%_v3.col
100,5000,5100,70,350080,4,7.5514,MinGrau,5081,bi_a100_b5000_p70%_v4.col
100,5000,5100,70,349824,5,6.906,MinGrau,5083,bi_a100_b5000_p70%_v5.col
100,5000,5100,80,399798,1,9.001,MinGrau,5088,bi_a100_b5000_p80%_v1.col
100,5000,5100,80,399782,2,7.5118,MinGrau,5088,bi_a100_b5000_p80%_v2.col
100,5000,5100,80,400257,3,8.3789,MinGrau,5089,bi_a100_b5000_p80%_v3.col
100,5000,5100,80,400168,4,8.9203,MinGrau,5089,bi_a100_b5000_p80%_v4.col
100,5000,5100,80,400446,5,8.3654,MinGrau,5087,bi_a100_b5000_p80%_v5.col
100,5000,5100,90,449636,1,10.9901,MinGrau,5093,bi_a100_b5000_p90%_v1.col
100,5000,5100,90,449930,2,9.4877,MinGrau,5093,bi_a100_b5000_p90%_v2.col
100,5000,5100,90,449720,3,9.3101,MinGrau,5092,bi_a100_b5000_p90%_v3.col
100,5000,5100,90,449880,4,10.2126,MinGrau,5093,bi_a100_b5000_p90%_v4.col
100,5000,5100,90,449675,5,10.9257,MinGrau,5092,bi_a100_b5000_p90%_v5.col
100,10000,10100,1,10029,1,0.0584,MinGrau,206,bi_a100_b10000_p01%_v1.col
100,10000,10100,1,9960,2,0.0585,MinGrau,208,bi_a100_b10000_p01%_v2.col
100,10000,10100,1,10002,3,0.0588,MinGrau,212,bi_a100_b10000_p01%_v3.col
100,10000,10100,1,9906,4,0.0583,MinGrau,209,bi_a100_b10000_p01%_v4.col
100,10000,10100,1,10024,5,0.0583,MinGrau,210,bi_a100_b10000_p01%_v5.col
100,10000,10100,3,30204,1,0.1135,MaxGrau,392,bi_a100_b10000_p03%_v1.col
100,10000,10100,3,30116,2,0.113,MaxGrau,390,bi_a100_b10000_p03%_v2.col
