instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a100_b10_c100_v3.col,100,10,100,3,5712,5612,135.6,1.3638,186.6886,62.1378
galaxy_a100_b10_c100_v4.col,100,10,100,4,5713,5613,134.6,1.2884,116.27376,20.2141
galaxy_a100_b10_c100_v5.col,100,10,100,5,6255,6155,144.4,1.7205,226.65898,51.3277
galaxy_a100_b10_c20_v1.col,100,10,20,1,1608,1508,106.8,0.3742,32.36905,10.8302
galaxy_a100_b10_c20_v2.col,100,10,20,2,1614,1514,107.4,0.2449,13.33725,4.2096
galaxy_a100_b10_c20_v3.col,100,10,20,3,1561,1461,106.8,0.3742,26.12468,8.4784
galaxy_a100_b10_c20_v4.col,100,10,20,4,1660,1560,107.6,0.2449,14.48673,1.2069
galaxy_a100_b10_c20_v5.col,100,10,20,5,1571,1471,107.0,0.3162,20.2539,5.0549
galaxy_a100_b10_c30_v1.col,100,10,30,1,2041,1941,108.8,0.5831,22.32839,4.3439
galaxy_a100_b10_c30_v2.col,100,10,30,2,2092,1992,108.8,0.5831,43.37249,22.1677
galaxy_a100_b10_c30_v3.col,100,10,30,3,2188,2088,110.2,0.5831,27.73973,7.3649
galaxy_a100_b10_c30_v4.col,100,10,30,4,2001,1901,109.2,0.3742,19.61746,1.3822
galaxy_a100_b10_c30_v5.col,100,10,30,5,1985,1885,108.6,0.2449,27.13187,8.6483
galaxy_a100_b10_c40_v1.col,100,10,40,1,2631,2531,110.0,0.0,40.27128,5.465
galaxy_a100_b10_c40_v2.col,100,10,40,2,2674,2574,111.8,0.7348,54.8852,18.1371
galaxy_a100_b10_c40_v3.col,100,10,40,3,2496,2396,110.6,0.6782,40.17931,8.7855
galaxy_a100_b10_c40_v4.col,100,10,40,4,2400,2300,110.2,0.6633,39.18224,15.0606
galaxy_a100_b10_c40_v5.col,100,10,40,5,2555,2455,109.8,0.3742,46.54976,19.2452
galaxy_a100_b10_c50_v1.col,100,10,50,1,2995,2895,112.6,0.8124,64.86689,15.9771
galaxy_a100_b10_c50_v2.col,100,10,50,2,3021,2921,114.6,0.9274,54.65934,18.3207
galaxy_a100_b10_c50_v3.col,100,10,50,3,3012,2912,111.2,0.3742,34.52201,4.9933
galaxy_a100_b10_c50_v4.col,100,10,50,4,3256,3156,113.8,0.3742,43.06318,4.8638
galaxy_a100_b10_c50_v5.col,100,10,50,5,3075,2975,113.4,1.0296,63.93582,19.3694
galaxy_a100_b10_c60_v1.col,100,10,60,1,3448,3348,115.8,1.3565,78.51867,16.3773
galaxy_a100_b10_c60_v2.col,100,10,60,2,3563,3463,116.6,0.5099,44.67954,6.6295
galaxy_a100_b10_c60_v3.col,100,10,60,3,3582,3482,114.8,0.8602,70.06535,6.8957
galaxy_a100_b10_c60_v4.col,100,10,60,4,3518,3418,113.4,1.4697,43.94281,4.9874
galaxy_a100_b10_c60_v5.col,100,10,60,5,3714,3614,116.8,0.5831,92.45641,26.0912
galaxy_a100_b10_c70_v1.col,100,10,70,1,3990,3890,117.0,0.7746,94.06653,11.2542
galaxy_a100_b10_c70_v2.col,100,10,70,2,4165,4065,119.8,0.3742,81.65032,13.8713
galaxy_a100_b10_c70_v3.col,100,10,70,3,4326,4226,121.6,0.8718,145.11116,42.4669
galaxy_a100_b10_c70_v4.col,100,10,70,4,4240,4140,122.2,1.1576,189.57155,49.0308
galaxy_a100_b10_c70_v5.col,100,10,70,5,3969,3869,121.4,1.5033,150.23466,37.2649
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,122.4,1.4353,277.44925,110.4752
galaxy_a100_b10_c80_v2.col,100,10,80,2,4929,4829,127.4,0.9798,171.6775,24.788
galaxy_a100_b10_c80_v3.col,100,10,80,3,4785,4685,123.8,1.772,193.46507,46.4947
galaxy_a100_b10_c80_v4.col,100,10,80,4,4712,4612,125.4,0.8124,179.46516,42.2822
galaxy_a100_b10_c80_v5.col,100,10,80,5,4537,4437,121.2,1.3928,150.12937,35.1857
galaxy_a100_b10_c90_v1.col,100,10,90,1,5110,5010,126.8,1.7436,149.33735,22.1156
galaxy_a100_b10_c90_v2.col,100,10,90,2,5347,5247,129.8,1.0677,248.89779,28.2908
galaxy_a100_b10_c90_v3.col,100,10,90,3,5523,5423,130.0,1.3038,187.79593,65.5414
galaxy_a100_b10_c90_v4.col,100,10,90,4,5349,5249,134.0,1.6733,180.49305,36.3346
galaxy_a100_b10_c90_v5.col,100,10,90,5,5416,5316,132.2,0.3742,189.72687,31.7492
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,94.0,0.0,0.19782,0.0012
